Image,Latitude,Longitude
2020-03-15 (1).jpg,18.36638,73.75517
2020-03-15.jpg,18.36627,73.75551
2020-04-28 (1).jpg,18.23339,73.44125
2020-04-28.jpg,18.23402,73.44125
2020-06-12 (1).jpg,18.43611,73.76989
2020-06-12.jpg,18.43612,73.77181
2020-09-29 (1).jpg,18.55476,73.78922
2020-09-29 (2).jpg,18.55475,73.78844
2020-09-29 (3).jpg,18.5552,73.79051
2020-09-29.jpg,18.55521,73.78889
2020-10-27 (1).jpg,18.2338,73.44096
2020-10-27.jpg,18.23392,73.44101
2020-11-15 (1).jpg,18.2336,73.44125
2020-11-15.jpg,18.23432,73.44117
2020-11-19 (1).jpg,18.27591,73.6225
2020-11-19.jpg,18.27596,73.62261
2020-11-27 (1).jpg,18.43597,73.77084
2020-11-27 (2).jpg,18.43591,73.7717
2020-11-27.jpg,18.43542,73.77164
2020-11-30 (1).jpg,18.23386,73.44072
2020-11-30.jpg,18.23409,73.44059
2020-12-10 (1).jpg,18.44753,73.88099
2020-12-10.jpg,18.44926,73.88083
2020-12-11 (1).jpg,18.43504,73.77086
2020-12-11.jpg,18.43457,73.77209
2020-12-15 (1).jpg,18.44754,73.88094
2020-12-15 (2).jpg,18.44759,73.88095
2020-12-15.jpg,18.44929,73.88082
2020-12-23 (1).jpg,18.27591,73.62254
2020-12-23.jpg,18.27598,73.62228
2021-01-15 (1).jpg,18.43529,73.76972
2021-01-15.jpg,18.43505,73.77281
2021-01-21 (1).jpg,18.23423,73.4409
2021-01-21.jpg,18.23326,73.44111
2021-01-23 (1).jpg,18.44871,73.88075
2021-01-23.jpg,18.44818,73.88087
2021-01-25.jpg,18.44786,73.88079
2021-02-05 (1).jpg,18.55374,73.78913
2021-02-05.jpg,18.55534,73.78879
2021-02-06 (1).jpg,18.23369,73.44102
2021-02-06 (2).jpg,18.23328,73.44086
2021-02-06 (3).jpg,18.23414,73.44124
2021-02-06.jpg,18.23337,73.44119
2021-02-23 (1).jpg,18.23392,73.44084
2021-02-23 (2).jpg,18.23376,73.44118
2021-02-23 (3).jpg,18.23391,73.44054
2021-02-23.jpg,18.234,73.44087
2021-02-28 (1).jpg,18.2335,73.44099
2021-02-28.jpg,18.23361,73.44069
2021-03-04 (1).jpg,18.23376,73.44109
2021-03-04.jpg,18.23332,73.441
2021-03-06 (1).jpg,18.55535,73.78969
2021-03-06.jpg,18.55359,73.79129
2021-04-28 (1).jpg,18.43492,73.77206
2021-04-28 (2).jpg,18.43524,73.77043
2021-04-28 (3).jpg,18.43609,73.77141
2021-04-28 (4).jpg,18.43476,73.7707
2021-04-28 (5).jpg,18.43524,73.77254
2021-04-28.jpg,18.43462,73.77134
2021-07-04 (1).jpg,18.23387,73.441
2021-07-04 (2).jpg,18.2338,73.44096
2021-07-04.jpg,18.23386,73.44081
2021-07-08 (1).jpg,18.23386,73.44063
2021-07-08.jpg,18.23338,73.44084
2021-07-09 (1).jpg,18.23414,73.44059
2021-07-09 (2).jpg,18.23412,73.44107
2021-07-09 (3).jpg,18.23414,73.44077
2021-07-09 (4).jpg,18.2339,73.44112
2021-07-09 (5).jpg,18.23333,73.44082
2021-07-09 (6).jpg,18.23323,73.44111
2021-07-09 (7).jpg,18.23349,73.44075
2021-07-09 (8).jpg,18.23328,73.44111
2021-07-09 (9).jpg,18.23428,73.44054
2021-07-09.jpg,18.23396,73.44123
2021-07-10 (1).jpg,18.23396,73.44103
2021-07-10 (2).jpg,18.23419,73.44123
2021-07-10.jpg,18.23354,73.44067
2021-07-13 (1).jpg,18.55502,73.79
2021-07-13.jpg,18.55431,73.79053
2021-07-17 (1).jpg,18.55406,73.78928
2021-07-17 (2).jpg,18.55526,73.78987
2021-07-17 (3).jpg,18.55459,73.78909
2021-07-17.jpg,18.5542,73.78919
2021-07-25 (1).jpg,18.44909,73.88089
2021-07-25.jpg,18.44849,73.88096
2021-07-29 (1).jpg,18.23332,73.44118
2021-07-29 (2).jpg,18.23384,73.44083
2021-07-29 (3).jpg,18.2335,73.44115
2021-07-29 (4).jpg,18.23413,73.44094
2021-07-29.jpg,18.23339,73.44117
2021-08-14 (1).jpg,18.5241,73.83138
2021-08-14 (10).jpg,18.52408,73.83077
2021-08-14 (11).jpg,18.52408,73.82991
2021-08-14 (12).jpg,18.52411,73.83162
2021-08-14 (2).jpg,18.52413,73.82993
2021-08-14 (3).jpg,18.5241,73.83032
2021-08-14 (4).jpg,18.52411,73.83154
2021-08-14 (5).jpg,18.5241,73.83124
2021-08-14 (6).jpg,18.5241,73.83194
2021-08-14 (7).jpg,18.52413,73.82992
2021-08-14 (8).jpg,18.52411,73.83169
2021-08-14 (9).jpg,18.52413,73.83036
2021-08-14.jpg,18.52413,73.83041
2021-08-16 (1).jpg,18.55417,73.79034
2021-08-16.jpg,18.55411,73.78887
2021-08-23 (1).jpg,18.23425,73.44076
2021-08-23 (2).jpg,18.2341,73.44101
2021-08-23.jpg,18.23407,73.4408
2021-09-04 (1).jpg,18.23422,73.44082
2021-09-04 (2).jpg,18.23428,73.44114
2021-09-04.jpg,18.23341,73.44075
2021-09-06 (1).jpg,18.55524,73.78967
2021-09-06.jpg,18.55399,73.7913
2021-09-10 (1).jpg,18.52411,73.83005
2021-09-10 (2).jpg,18.52412,73.83178
2021-09-10 (3).jpg,18.52412,73.83049
2021-09-10 (4).jpg,18.52408,73.83157
2021-09-10.jpg,18.52412,73.82995
2021-09-19 (1).jpg,18.23385,73.4408
2021-09-19 (1).jpg,18.52694,73.85027
2021-09-19 (2).jpg,18.23407,73.4406
2021-09-19 (2).jpg,18.52694,73.84995
2021-09-19 (3).jpg,18.52694,73.8499
2021-09-19 (4).jpg,18.52694,73.85006
2021-09-19 (5).jpg,18.52695,73.85022
2021-09-19 (6).jpg,18.52694,73.8501
2021-09-19 (7).jpg,18.52695,73.85002
2021-09-19.jpg,18.23322,73.44054
2021-09-19.jpg,18.52694,73.85002
2021-09-22 (1).jpg,18.23425,73.44107
2021-09-22.jpg,18.2332,73.44073
2021-09-28 (1).jpg,18.52819,73.81625
2021-09-28 (2).jpg,18.52448,73.81495
2021-09-28.jpg,18.52942,73.81489
2021-09-29 (1).jpg,18.52359,73.81595
2021-09-29 (2).jpg,18.5227,73.8164
2021-09-29 (3).jpg,18.52287,73.81597
2021-09-29 (4).jpg,18.53132,73.81504
2021-09-29.jpg,18.52699,73.8159
2021-10-02 (1).jpg,18.2759,73.62238
2021-10-02.jpg,18.27591,73.62254
2021-10-05 (1).jpg,18.2337,73.44098
2021-10-05.jpg,18.23411,73.44086
2021-10-14 (1).jpg,18.23418,73.44103
2021-10-14.jpg,18.23394,73.44099
2021-10-15 (1).jpg,18.44882,73.88088
2021-10-15 (2).jpg,18.44817,73.88088
2021-10-15.jpg,18.44876,73.8809
2021-10-18 (1).jpg,18.23337,73.44074
2021-10-18 (1).jpg,18.36634,73.75694
